date,S5101377
2017/12/4,685
2017/12/5,685
2017/12/6,685
2017/12/7,686
2017/12/8,686
2017/12/9,686
2017/12/10,686
2017/12/11,686
2017/12/12,687
2017/12/13,689
2017/12/14,689
2017/12/15,691
2017/12/16,691.6666667
2017/12/17,692.3333333
2017/12/18,693
2017/12/19,693
2017/12/20,694
2017/12/21,694
2017/12/22,697
2017/12/23,697
2017/12/24,697
2017/12/25,697
2017/12/26,699
2017/12/27,699
2017/12/28,702
2017/12/29,702
2017/12/30,702.25
2017/12/31,702.5
2018/1/1,702.75
2018/1/2,703
2018/1/3,705
2018/1/4,709
2018/1/5,711
2018/1/6,712.6666667
2018/1/7,714.3333333
2018/1/8,716
2018/1/9,719
2018/1/10,724
2018/1/11,730
2018/1/12,731
2018/1/13,731
2018/1/14,731
2018/1/15,731
2018/1/16,733
2018/1/17,734
2018/1/18,736
2018/1/19,737
2018/1/20,737
2018/1/21,737
2018/1/22,737
2018/1/23,739
2018/1/24,739
2018/1/24,739.89354
2018/1/25,740.68983
2018/1/26,741.2397
2018/1/27,741.7095
2018/1/28,742.24572
2018/1/29,742.85972
2018/1/30,743.46807
2018/1/31,743.99867
2018/2/1,744.44896
2018/2/2,744.86439
2018/2/3,745.28387
2018/2/4,745.71027
2018/2/5,746.12198
2018/2/6,746.50099
2018/2/7,746.84777
2018/2/8,747.17509
2018/2/9,747.49365
2018/2/10,747.80453
2018/2/11,748.10247
2018/2/12,748.38331
2018/2/13,748.64775
2018/2/14,748.89965
